epoch,lr,train_loss,val_loss,val_psnr,val_ssim,epoch_time_s,elapsed_min
1,0.001,83.1880111694336,95.43252563476562,4.567477226257324,0.309123694896698,34.747341968119144,0.5791230887174607
2,0.001,76.61061096191406,89.59406280517578,10.405939102172852,0.4685620665550232,12.793930560350418,0.8609751360490918
3,0.001,75.281494140625,80.47996520996094,19.520038604736328,0.7633348703384399,12.788073934614658,1.1423535756145915
4,0.001,75.20247650146484,75.87899780273438,24.12100601196289,0.8306114673614502,12.826334964483976,1.4276523543521762
5,0.001,73.8656997680664,76.8501205444336,23.14987564086914,0.8471846580505371,12.667745389044285,1.711277500540018
6,0.001,74.50473022460938,82.01982116699219,17.980175018310547,0.803949236869812,12.813772436231375,1.9726123013844092
7,0.001,73.25086212158203,73.461669921875,26.538330078125,0.8595175743103027,12.819346010684967,2.23537505051742
8,0.001,72.74845886230469,75.51127624511719,24.488725662231445,0.8680377006530762,12.933945331722498,2.521567570976913
9,0.001,73.36148071289062,71.30307006835938,28.696929931640625,0.8799234628677368,12.851464435458183,2.782990160025656
10,0.001,73.5662841796875,83.03470611572266,16.96529769897461,0.7531670331954956,12.65542846173048,3.0639570926626525
11,0.0001,72.48499298095703,69.99955749511719,30.00044822692871,0.8933417797088623,12.510238036513329,3.3227918275942403
12,0.0001,70.81757354736328,68.7725830078125,31.227418899536133,0.9012393355369568,12.815656010061502,3.6050606183086833
13,0.0001,70.48612213134766,69.57674407958984,30.423259735107422,0.9049577713012695,12.684502359479666,3.8861619646971426
14,0.0001,70.6759033203125,68.57398986816406,31.426013946533203,0.9068624973297119,12.708096712827682,4.14276695518444
15,0.0001,71.47415924072266,68.51692962646484,31.483068466186523,0.9104522466659546,12.784286700189114,4.425048364450534
16,0.0001,69.89360046386719,67.68626403808594,32.31373977661133,0.9094370007514954,12.677228093147278,4.7047722563147545
